(255, 0, 0)
(0, 255, 0)
(0, 0, 255)
(255, 255, 0)
(238, 130, 238)
(255, 0, 255)
(128, 0, 0)
(0, 128, 0)
(128, 0, 128)
(0, 255, 255)
(0, 0, 128)
(255, 99, 71)
(240, 128, 128)
(85, 107, 47)
(0, 250, 154)
(70, 130, 180)
(135, 206, 235)
(75, 0, 130)
(139, 69, 19)
(148, 0, 211)
(60, 20, 220)
(0, 0, 0)
(0, 100, 0)
(143, 188, 143)
(32, 178, 170)
(47, 79, 79)
(30, 144, 255)
(25, 25, 112)
(138, 43, 226)
(123, 104, 238)
(218, 112, 214)
(255, 105, 180)
(244, 164, 96)
(192, 192, 192)
(220, 20, 60)
(189, 183, 107)
(152, 251, 152)
(224, 255, 255)
(135, 206, 250)
(139, 0, 139)
(186, 85, 211)
(255, 20, 147)
